,0,1,2,3,4,5,6,7,8,9
subtipo__subtipo:health,0.0008525985234546006,0.0019408411219007798,0.08452789309649004,0.09061872505330516,0.008371304073458688,0.011217244305726832,0.07497372006724899,0.08804982390388627,0.017325510451640127,0.10441378568409122
subtipo__subtipo:indigenous,0.0031731222595348407,0.004155500651925033,0.0011630545916899283,0.0017699289422006027,0.007070231581615788,0.004332444753600906,0.021112817606733152,0.014182822695695067,0.29236467964258217,0.34637143495895595
subtipo__subtipo:other,0.005673213900526053,0.0074707646968103425,1.0469331973133293e-06,0.012295824416536537,0.0052975467560536955,0.0006356283072094885,0.0086221777260073,0.027429200475961382,8.976689947615413e-05,0.0023007692497545463
subtipo__subtipo:religious,0.007993562158255089,0.024271555471120212,0.001067642100528225,0.012001321650697965,0.008902053838601636,0.011145338963207907,0.08715950208848601,0.05106691564830872,0.06468303115070928,0.002877544652473057
subtipo__subtipo:sports,0.06065080132886595,0.15235433503832335,0.0037469184116945085,0.00011802545428793233,0.012683857515055748,0.002739482060079469,0.07926545331061896,0.06042741033153514,0.08086682691903237,1.0275562833816726e-05
subtipo__subtipo:tourism,2.2294655596416314e-05,2.3752296196231884e-05,1.5753385958494866e-08,0.000606982532847902,0.00011820094366715387,0.0064930167060613785,0.019131707924050514,0.003248735720040992,0.0012907179867086519,0.0006772249447265233
subtipo__subtipo:transport,0.0007472165377403254,0.00035298927320490814,0.008574395780573216,0.03795001364491428,0.012238922443489779,0.04563795665888144,0.12990959810705177,0.0007046841479311561,0.0011952815746620743,0.0013913327409435254
era__era:c_kirchner,0.005450759675787685,0.024342610149043178,0.08997995043765672,0.06508978503134949,0.044003109895742444,0.022944073395302574,0.0003622128528453328,0.04980596524748414,3.9625470459572166e-05,0.007226002861413681
era__era:crisis,0.01073066612150423,0.0015982103869262372,0.0008128764683984859,0.008138234175832067,0.00032247990335918794,0.009862895857020233,0.00010443390957335145,0.01513948633517553,0.0522145994319055,0.15205854946637012
era__era:fernandez,0.1026495120670982,0.03770418899947987,0.04210434807907052,0.005038044005672753,0.0017534976460687806,0.12863311186793158,0.006567472425765098,6.502748545470637e-05,0.038115878075783566,0.05281983909382284
