provincia,n_orgs_milei,shannon_H_milei,evenness_milei,theil_between_contrib,within_T,shannon_H_total,dominant_tipo,dominant_pct,provincial_diff,sas_share_milei,coop_share_milei,pda_total,pct_with_account,pct_borrowers,hhi_empleo,n_sectors,puestos_total,sown_ha,prod_tm,n_cultivos,agro_hhi,pob_empleo,tasa_empleo,tasa_desocupacion,pda_per_100k,prov_type
Jujuy,429,1.341736678586806,0.6452389507920047,0.0035902767876594,0.4051838070365515,1.6742577346432843,SRL,30.08800267349894,-12.20288815111855,42.19114219114219,11.188811188811188,1496,95.26,42.52411,0.06158744837745221,81,69095,84739.0,136115.0,14.0,0.1922668497875431,633222,0.5785664427325645,0.07923817949227045,236.25205694053588,peripheral
La Rioja,194,1.326601255887225,0.6817381863860745,0.0011523253727051,0.4653340126909402,1.6141075289888958,SRL,34.372680029695616,-28.750565196581807,34.02061855670103,3.0927835051546397,838,99.6,55.70159,0.055788819602590654,77,32410,,,,,303899,0.6013741407507099,0.07064836003051106,275.74950888288544,peripheral
Chaco,703,1.2410508248738772,0.6377739616992972,0.0062438473200842,0.2866539064331562,1.7927876352466794,SRL,27.32687597417056,-55.44422252384125,56.04551920341394,0.4267425320056899,2386,100.0,52.52378,0.06490109465388434,82,87643,2068806.0,1780229.0,14.0,0.19999979790195455,869419,0.5571019266889727,0.0655993240206112,274.43614643802357,peripheral
Salta,1462,1.2240904645375097,0.5886630809292444,0.0032160073182796,0.3972370207806228,1.6822045208992131,SRL,40.56537457320747,81.90228271658333,59.4391244870041,2.7359781121751023,2624,96.97,46.17146,0.05284411378765452,83,142090,2067382.0,4434023.0,23.0,0.13543821492964772,1096035,0.5645941963532186,0.07904841278109327,239.4084130525029,intermediate
CABA,21827,1.1868461348845891,0.5707523443654102,0.036154066944353,0.9034764748302868,1.1759650668495492,SA,45.59318824309153,812.2418531922981,17.276767306546937,0.3848444586979428,12122,100.0,74.35046,0.040479646191296396,84,828193,,,,,2668924,0.6290111670470946,0.07470657131440067,454.1905277182865,metropolitan
Catamarca,283,1.1785988641288394,0.6056800025946816,0.0006804004373325,0.550516441421077,1.5289251002587587,SRL,44.49942900647126,-9.61257624168163,53.35689045936396,4.593639575971731,894,100.0,57.01672,0.05915651190326468,78,38034,129550.0,277750.0,15.0,0.18651030993637835,339080,0.5823168573787897,0.07647262420370249,263.6545947858912,peripheral
Neuquén,1104,1.0954505530639609,0.5268003601481496,0.0011549835366723,0.5198251203816581,1.5596164212981782,SRL,45.717983749191056,64.43222878071106,60.5072463768116,1.2681159420289856,1696,99.64,61.27203,0.059647179188014904,84,106785,,,,,560376,0.6159649949319742,0.07021872643034156,302.65393235970134,intermediate
San Luis,804,1.0869618525490456,0.522718158102663,0.0009211960138313,0.4846533575675217,1.5947881841123142,SRL,37.27910917453401,-279.65395344588893,66.66666666666666,1.2437810945273633,1682,95.76,53.69256,0.045310558717626924,78,59429,1233060.0,3428322.0,16.0,0.22594915502881688,429112,0.5790749268256306,0.09818794162798547,391.9722589906598,intermediate
Tucumán,1672,1.059354149697232,0.5094416594377804,0.0051172711562231,0.3717320634060728,1.7077094782737632,SRL,39.68886123210952,-16.182549174220007,69.97607655502392,5.023923444976076,2810,95.22,49.67222,0.07555634217523285,82,188371,600380.0,1392600.0,17.0,0.1773275889259609,1353069,0.5408645087574987,0.09788865906182896,207.67603130365117,intermediate
Río Negro,1066,1.0253131335096173,0.4930713910242162,0.0019197381369232,0.3611180493951366,1.7183234922846993,SRL,36.26913979833188,-176.0306216532629,71.95121951219512,1.3133208255159476,1892,100.0,59.07429,0.053520021512320985,82,123306,,,,,594726,0.6011070644296701,0.07779420148535668,318.1296933377723,intermediate
Tierra del Fuego,501,0.9426829731246082,0.4533346834857788,0.000590901637541,0.4218653355361839,1.657576206143652,SRL,37.03885882931628,-28.47393764879709,76.44710578842316,3.393213572854292,506,98.29,64.8682,0.07415544349996253,79,34484,,,,,145489,0.6248926035645307,0.10950585239237964,347.7926166239372,intermediate
Córdoba,9308,0.931002214911024,0.4477174261695918,0.0141950869453964,0.4429650002699367,1.6364765414098992,SRL,30.695238879058472,-39.62865930830816,76.32144391920929,0.8594757198109154,10554,99.79,54.49233,0.04640708468213981,84,542448,14327972.0,52624981.0,23.0,0.21610119469733335,3062143,0.5974678517626382,0.0807928506579539,344.66058574011726,metropolitan
San Juan,816,0.6907508561746657,0.3549757199786468,0.0012736501492288,0.4850082215241714,1.5944333201556646,SRL,41.734087491945296,-124.20829165638196,79.5343137254902,1.4705882352941175,1636,96.94,48.84944,0.04499527263417183,80,87743,,,,,630979,0.538483848115389,0.09612269057341616,259.2796273727018,intermediate
Mendoza,4215,0.6843891918818327,0.3291216310553084,0.0075209793246316,0.5302562069337323,1.5491853347461038,SA,41.51428252206622,142.70493195223983,83.58244365361803,0.166073546856465,4774,97.6,50.4338,0.04752442502008727,85,268959,,,,,1594198,0.5706580989312494,0.0953790591461735,299.46092016173645,intermediate
