era,provincia,n,shannon_H,evenness,n_types
c_kirchner,Formosa,1020,1.2768281572663402,0.6561598735101957,7
c_kirchner,Neuquén,2605,1.2613783618382173,0.6065947691028802,8
c_kirchner,Salta,3890,1.3999157974821725,0.7194144077833161,7
c_kirchner,Tucumán,4438,1.3679364200031585,0.6578383631299863,8
c_kirchner,Río Negro,2979,1.3774016190021874,0.6623901616822951,8
c_kirchner,Santa Cruz,1179,1.478321796312142,0.759707120613882,7
c_kirchner,La Rioja,1207,1.5359503519476965,0.7893223398281565,7
c_kirchner,San Luis,2774,1.3637597048828751,0.6558297877329068,8
c_kirchner,Tierra del Fuego,876,1.341688581424584,0.6452158209461986,8
macri,CABA,40263,1.3812172233338889,0.6642250794980752,8
macri,Buenos Aires,31845,1.610951165176219,0.7747037523713429,8
macri,Santa Fe,9409,1.6046036009845521,0.7716512192443289,8
macri,Santiago del Estero,1016,1.2343301103096715,0.5935873096545635,8
macri,Mendoza,5820,1.5550660113414883,0.7478286742724486,8
macri,Entre Ríos,1964,1.6980861382370036,0.8166068168789387,8
macri,Jujuy,929,1.7055138668621868,0.820178799296479,8
macri,San Juan,1476,1.5329390350825625,0.7371878479662419,8
macri,Catamarca,466,1.1710342368772018,0.5631484287513102,8
macri,Córdoba,12826,1.5291673041254163,0.7353740287837612,8
macri,Corrientes,1844,1.6760668294380652,0.8060177676762617,8
macri,Chaco,2193,1.7951434083116204,0.8632814976185622,8
macri,La Pampa,993,1.5572052513363568,0.748857431249738,8
macri,Chubut,1767,1.6656549849167057,0.8010107288571042,8
macri,Misiones,881,1.6643754262703825,0.8003953912192452,8
macri,Formosa,461,1.540513645118812,0.7408304654115635,8
macri,Neuquén,1702,1.5179254958544768,0.7299678617693915,8
macri,Salta,1975,1.6153132599660942,0.7768014765450898,8
macri,Tucumán,2185,1.5757447717414628,0.75777305596604,8
macri,Río Negro,2209,1.5982567724631793,0.7685990398999432,8
macri,Santa Cruz,605,1.730117475742198,0.8320106341362002,8
macri,La Rioja,380,1.4383902479339867,0.6917194925191364,8
macri,San Luis,1336,1.483782982230373,0.7135487834063987,8
macri,Tierra del Fuego,700,1.7045823064450571,0.8759820217149213,7
fernandez,CABA,37462,1.1905000721303622,0.5725095167468089,8
fernandez,Buenos Aires,32331,1.6741688106698358,0.8051050135881154,8
fernandez,Santa Fe,9964,1.7116979014986522,0.823152691330717,8
fernandez,Santiago del Estero,1981,1.471730829178961,0.7077529229266298,8
fernandez,Mendoza,8583,1.1574157237952838,0.5565993083221221,8
fernandez,Entre Ríos,2389,1.789594920266708,0.8606132388896199,8
fernandez,Jujuy,1077,1.5284007957462438,0.7350054161712839,8
fernandez,San Juan,1911,1.266489314457353,0.6090526177688288,8
fernandez,Catamarca,684,1.4351932513958425,0.6901820621686965,8
fernandez,Córdoba,18608,1.1875605469641237,0.5710959039535088,8
fernandez,Corrientes,2220,1.4936448649837162,0.7182913465204243,8
fernandez,Chaco,3801,1.5480496474090906,0.7444545164556678,8
fernandez,La Pampa,1028,1.6900662773155106,0.8127500790189197,8
fernandez,Chubut,2026,1.70933562284707,0.8220166754321052,8
fernandez,Misiones,1467,1.7346166683765163,0.8341742884367119,8
fernandez,Formosa,677,1.4176053001650302,0.6817240454953332,8
fernandez,Neuquén,1994,1.4359432949306044,0.6905427568647138,8
fernandez,Salta,3611,1.5866569032737226,0.7630206819817464,8
fernandez,Tucumán,3465,1.5224692850289572,0.7321529624723475,8
fernandez,Río Negro,2309,1.423034623691298,0.6843349982042427,8
fernandez,Santa Cruz,771,1.647612034536202,0.7923339038447847,8
fernandez,La Rioja,598,1.6825760222814345,0.8091480277547013,8
fernandez,San Luis,1503,1.435450044158697,0.6903055533838653,8
fernandez,Tierra del Fuego,1103,1.4313163405168492,0.7355510947983465,7
milei,CABA,21827,1.1868461348845891,0.5707523443654102,8
milei,Buenos Aires,14068,1.4385991729970167,0.6918199642365866,8
milei,Santa Fe,3773,1.5723279057247483,0.756129890746808,8
milei,Santiago del Estero,702,1.4372075591070554,0.6911507394172937,8
milei,Mendoza,4215,0.6843891918818327,0.32912163105530845,8
milei,Entre Ríos,842,1.622328905410089,0.7801752888419852,8
milei,Jujuy,429,1.341736678586806,0.6452389507920047,8
milei,San Juan,816,0.6907508561746657,0.3549757199786468,7
milei,Catamarca,283,1.1785988641288394,0.6056800025946816,7
milei,Córdoba,9308,0.9310022149110241,0.4477174261695918,8
milei,Corrientes,480,1.444438226265753,0.6946279553013508,8
milei,Chaco,703,1.2410508248738772,0.6377739616992972,7
milei,La Pampa,448,1.4814899860240303,0.7613352480551343,7
milei,Chubut,838,1.4117356172671667,0.6789013246925537,8
milei,Misiones,445,1.433771282402407,0.7368126853639486,7
milei,Formosa,246,1.537988069749141,0.7903695196285361,7
milei,Neuquén,1104,1.0954505530639609,0.5268003601481496,8
milei,Salta,1462,1.2240904645375097,0.5886630809292444,8
milei,Tucumán,1672,1.0593541496972319,0.5094416594377804,8
milei,Río Negro,1066,1.0253131335096173,0.4930713910242162,8
milei,Santa Cruz,374,1.4658697626336639,0.7533080411473798,7
milei,La Rioja,194,1.326601255887225,0.6817381863860745,7
milei,San Luis,804,1.0869618525490456,0.522718158102663,8
milei,Tierra del Fuego,501,0.9426829731246082,0.4533346834857788,8
