,0,1,2,3,4,5,6,7,8,9
subtipo__subtipo:education,-2.483818799233222,3.0104836417506533,0.17792422291583188,-0.5446034431285411,1.2105733574725,1.7288812076564914,0.018410832757113357,-3.26217519428329,0.8498039471519884,-1.481277083839137
subtipo__subtipo:health,-0.2734404919414844,0.40165063801614814,-2.4388397787960487,2.4216805686324725,0.7232572052012021,-0.8233230758336681,2.1189315489315446,-2.262871377347475,-1.0026279460109826,2.454871153867011
subtipo__subtipo:indigenous,-3.0286991874331504,3.3743283868946823,1.6425004515885806,-1.943157478178623,3.8162360465510554,2.9377573045786805,-6.4559133779218945,5.214337765273877,23.64729329601122,25.67101353462943
subtipo__subtipo:other,0.10079283655588168,-0.11260574471937199,0.0012264992393415492,-0.1274709608203271,0.08221634372112381,0.028006146944776635,0.10268226314785407,0.1804790296596608,0.010312867743835058,-0.05207279194736898
subtipo__subtipo:religious,-2.0313693851636483,3.4461205004782403,0.6650040336414824,2.138211234568652,1.809545487130846,-1.9911410462967591,5.543039245761903,4.18112954284103,4.700241295615138,-0.9887557077399558
subtipo__subtipo:sports,-2.4541311277546587,3.7867778687802796,0.5463982754882241,-0.09300037020807589,-0.9473508330766296,-0.43296259972164597,-2.318426459860836,1.9948101455163998,-2.3050000598629055,-0.025914423096740753
subtipo__subtipo:tourism,0.08146425776118685,-0.0818620188943659,0.0019397527980865984,-0.3651507208953451,0.15833716492987424,-1.1540553563246452,-1.972038777499806,-0.8008090960212852,0.5041835240409018,-0.36424402573163805
subtipo__subtipo:transport,0.2517115931941143,-0.1684316351228425,-0.7637908532001982,1.5410023238487647,0.8599184039875565,-1.6329757541160257,-2.7426630710010937,0.19905922850233865,0.25895323489369293,-0.27864722763764405
era__era:c_kirchner,-0.22022725351994157,-0.45309476801980336,0.8015084948728306,0.6537569347807681,0.5281896692331837,-0.3750718469164486,-0.04691333770142442,0.5421111137392091,-0.015273409947384542,-0.205707844355136
era__era:crisis,-0.5501513869860523,-0.20670394979337353,-0.13563565099600414,-0.41157719866741505,-0.08050555904860644,0.43783225689535704,-0.04484990193638577,0.5321444363614467,0.9871225969649017,1.6800938256597375
era__era:fernandez,1.1627762734663554,0.6860810886789782,0.6670738247116731,0.22129216597360205,-0.128285030547082,1.0805149114663466,0.24304612662718103,0.02383259219253782,-0.576337566773957,0.6766677783947376
era__era:macri,0.9447642697585236,0.42728917934073424,-1.2706973032853295,0.43061739405594796,0.34631678029260493,0.43942644120691854,-0.8703865740176726,0.38200453800222556,0.28607093211252516,-0.6637196007791516
era__era:menem,-0.43488589710451686,-0.39086795702999516,-0.1622396119580914,-0.5631676168918135,0.5732384013424593,0.005279540031985246,0.26618231426691374,-0.7949326066279163,-0.3028194459057408,0.22615583052982294
era__era:milei,1.7730343452906616,1.0514828756326955,0.30431778144953564,-1.1322424803816091,-0.34102756793417277,-2.0476399491429778,0.5534006751474781,-0.6162272076844861,0.5464030841936257,-0.2617471786083712
era__era:n_kirchner,-0.34506431039434865,-0.5579661057004928,0.2351963503053374,-0.18035463598541618,-0.2427723700483078,0.14525317503439888,-0.5782636199804297,0.1570434703348961,0.30308808711413726,-0.61274590277868
era__era:pre1990,-0.7612410632573152,0.30120363800285294,-0.5168427601866361,0.19598547809515013,-0.9753805585530863,-0.20935736683886486,0.3402404197849133,0.03702707729171293,-0.11815404054047146,-0.12202837010577945
estado__estado:AC,-0.026512374280347424,-0.05339993810738676,-0.05465195697032615,-0.021858819181281703,-0.010336952281498007,0.06756132480862279,-0.04953255808933645,-0.002502161875084927,-0.01135095027103897,0.005934403456941892
estado__estado:BD,1.0047860394946568,2.0237912965778597,2.0712412556560045,0.8284220840028826,0.3917576462048223,-2.560490254838737,1.8772223997123405,0.09482882574224691,0.4301869099589334,-0.22490651660286634
