"provincia","region","era","H","n"
"Santiago del Estero","noa","c_kirchner",1.37158658396592,2349
"Santiago del Estero","noa","macri",1.23433011030967,1016
"Santiago del Estero","noa","fernandez",1.47173082917896,1981
"Santiago del Estero","noa","milei",1.43712838766632,700
"Tierra del Fuego","patagonia","pre1990",1.12318334332816,582
"Tierra del Fuego","patagonia","menem",1.28230395730607,1060
"Tierra del Fuego","patagonia","crisis",1.35969474545688,375
"Tierra del Fuego","patagonia","n_kirchner",1.22240140703938,902
"Tierra del Fuego","patagonia","c_kirchner",1.34168858142458,876
"Tierra del Fuego","patagonia","macri",1.70458230644506,700
"Tierra del Fuego","patagonia","fernandez",1.43131634051685,1103
"Tierra del Fuego","patagonia","milei",0.956348737205836,491
"Tucumán","noa","pre1990",1.45630976711793,2981
"Tucumán","noa","menem",1.35284901848989,4395
"Tucumán","noa","crisis",1.32209516518829,1826
"Tucumán","noa","n_kirchner",1.36929652968912,3137
"Tucumán","noa","c_kirchner",1.36793642000316,4438
"Tucumán","noa","macri",1.57574477174146,2185
"Tucumán","noa","fernandez",1.52246928502896,3465
"Tucumán","noa","milei",1.05978439748927,1660
