"x","y","era_grupo","region"
-3.19141270579308,-0.350232991322667,"Pre-1990","noa"
-3.18737711940752,-0.385482269239199,"Pre-1990","noa"
-3.18077674879091,-0.420496483189506,"Pre-1990","noa"
-3.17161817333622,-0.455240730243645,"Pre-1990","noa"
-3.15991052251062,-0.489680376580546,"Pre-1990","noa"
-3.14566546675509,-0.523781092011758,"Pre-1990","noa"
-3.12889720585099,-0.557508884202531,"Pre-1990","noa"
-3.10962245476547,-0.590830132556108,"Pre-1990","noa"
-3.08786042698958,-0.623711621727471,"Pre-1990","noa"
-3.06363281538589,-0.656120574733118,"Pre-1990","noa"
-3.03696377056454,-0.688024685623875,"Pre-1990","noa"
-3.00787987680939,-0.719392151688168,"Pre-1990","noa"
-2.97641012557825,-0.750191705153653,"Pre-1990","noa"
-2.94258588660353,-0.780392644355619,"Pre-1990","noa"
-2.90644087662225,-0.80996486434107,"Pre-1990","noa"
-2.86801112576642,-0.838878886877997,"Pre-1990","noa"
-2.82733494164745,-0.867105889839924,"Pre-1990","noa"
-2.78445287117029,-0.894617735936428,"Pre-1990","noa"
-2.73940766011537,-0.921387000761001,"Pre-1990","noa"
-2.69224421052869,-0.947387000128297,"Pre-1990","noa"
-2.6430095359625,-0.972591816673509,"Pre-1990","noa"
-2.59175271461115,-0.996976325687358,"Pre-1990","noa"
-2.53852484038887,-1.02051622016095,"Pre-1990","noa"
-2.48337897199827,-1.04318803501555,"Pre-1990","noa"
-2.42637008004025,-1.06496917049303,"Pre-1990","noa"
-2.36755499221814,-1.08583791468388,"Pre-1990","noa"
-2.30699233669055,-1.10577346517002,"Pre-1990","noa"
-2.24474248362962,-1.1247559497612,"Pre-1990","noa"
-2.18086748504266,-1.14276644630394,"Pre-1990","noa"
-2.1154310129174,-1.1597870015436,"Pre-1990","noa"
-2.04849829575234,-1.17580064902057,"Pre-1990","noa"
-1.98013605353558,-1.19079142598277,"Pre-1990","noa"
-1.91041243123688,-1.20474438929772,"Pre-1990","noa"
-1.83939693087927,-1.21764563034815,"Pre-1990","noa"
-1.76716034225794,-1.2294822888964,"Pre-1990","noa"
-1.69377467237538,-1.2402425659038,"Pre-1990","noa"
-1.61931307366332,-1.24991573529224,"Pre-1990","noa"
-1.54384977106271,-1.25849215463609,"Pre-1990","noa"
-1.46745998803473,-1.26596327477403,"Pre-1990","noa"
-1.3902198715764,-1.27232164833104,"Pre-1990","noa"
-1.3122064163156,-1.27756093714207,"Pre-1990","noa"
-1.23349738776114,-1.28167591857009,"Pre-1990","noa"
-1.15417124478443,-1.28466249071212,"Pre-1990","noa"
-1.07430706140993,-1.28651767648811,"Pre-1990","noa"
-0.993984447992506,-1.28723962660852,"Pre-1990","noa"
-0.913283471860025,-1.28682762141777,"Pre-1990","noa"
-0.832284577500559,-1.28528207161159,"Pre-1990","noa"
