"era_grupo","provincia","prov_type","n","coord1","coord2"
"Macri","Tucumán","intermediate",2115,-0.120161322119762,0.0750757436725554
"Fernández","Buenos Aires","metropolitan",29650,0.0745990982973767,0.282094305001033
"Fernández","CABA","metropolitan",33341,0.241517180046811,0.141426220846186
"Fernández","Catamarca","peripheral",635,0.0624545575589854,0.826586354976501
"Fernández","Chaco","peripheral",3696,-1.41894785602053,0.207932587752776
"Fernández","Chubut","intermediate",1893,-0.139606755779704,0.578773068359967
"Fernández","Corrientes","peripheral",2155,-0.0156160844700535,0.335667869926787
"Fernández","Córdoba","metropolitan",18176,0.158553830850115,0.271188613011796
"Fernández","Entre Ríos","intermediate",2261,-0.26917670287746,0.411071535970421
"Fernández","Formosa","peripheral",603,-0.15004781306787,1.50723336307819
"Fernández","Jujuy","peripheral",946,-0.216492250596235,1.38710408259484
"Fernández","La Pampa","intermediate",1000,0.00340826832678722,-0.0062165528190006
"Fernández","La Rioja","peripheral",542,-0.476956039639721,0.62629814057292
"Fernández","Mendoza","intermediate",8122,0.138821574221246,0.220975590726221
"Fernández","Misiones","peripheral",1358,-0.493636252469988,0.766573539967019
"Fernández","Neuquén","intermediate",1928,0.187391799398054,0.561464005278017
"Fernández","Río Negro","intermediate",2212,-0.0269221080642918,0.43789705389424
"Fernández","Salta","intermediate",3405,-0.201937200200641,0.551011350290966
"Fernández","San Juan","intermediate",1821,0.107925971162175,0.656962658701208
"Fernández","San Luis","intermediate",1455,-0.114403516983815,0.280530159916445
"Fernández","Santa Cruz","intermediate",713,-0.158168942015322,0.558951827758005
"Fernández","Santa Fe","metropolitan",9534,-0.206443806845142,0.231541965334274
"Fernández","Santiago del Estero","peripheral",1866,-0.760860036617227,1.30112505313659
"Fernández","Tierra del Fuego","intermediate",1059,0.0222743798208418,0.586749425893995
"Fernández","Tucumán","intermediate",3183,-0.270041693706981,0.697440593343389
"Milei","Buenos Aires","metropolitan",11504,0.228706064931255,0.0333730102383555
"Milei","CABA","metropolitan",18013,0.34714358016039,0.139241384757525
"Milei","Catamarca","peripheral",262,0.310811158216142,0.375207074406953
"Milei","Chaco","peripheral",675,0.133987251576734,0.165707538781694
"Milei","Chubut","intermediate",771,0.167804568738041,0.338675750046528
"Milei","Corrientes","peripheral",456,0.114197516033054,0.0522333697514169
"Milei","Córdoba","metropolitan",8540,0.266210222503356,0.275359203913646
"Milei","Entre Ríos","intermediate",776,0.130910774011748,0.0701572777778397
"Milei","Formosa","peripheral",216,0.0709432500001888,0.613790265421691
"Milei","Jujuy","peripheral",391,0.236781038665919,0.568498752997932
"Milei","La Pampa","intermediate",414,0.0942092553530432,-0.0750610615155461
"Milei","La Rioja","peripheral",179,0.220035772830461,0.278106018030412
"Milei","Mendoza","intermediate",3770,0.281907338306202,0.27411309407713
"Milei","Misiones","peripheral",416,0.0604376454666062,0.249717790858458
"Milei","Neuquén","intermediate",1038,0.315395735768566,0.377812154093955
"Milei","Río Negro","intermediate",999,0.189115615762479,0.353610604394785
"Milei","Salta","intermediate",1341,0.213072115681464,0.374058223543027
"Milei","San Juan","intermediate",770,0.344493458040408,0.472396207908438
"Milei","San Luis","intermediate",751,-0.0429342368248673,0.309991169651903
"Milei","Santa Cruz","intermediate",333,0.132942581989066,0.556941709082951
"Milei","Santa Fe","metropolitan",3451,0.0419693749181856,0.0736942557919023
"Milei","Santiago del Estero","peripheral",628,-0.750843687037294,0.774906233870522
"Milei","Tierra del Fuego","intermediate",469,0.198153346459722,0.369425032302546
"Milei","Tucumán","intermediate",1506,0.0276362469938798,0.329057592107614
